Subject	Rating1	Rating1_StartPosition	Trial	Trial_No	Condition	Anticipation	IADS	Rating2	Rating2_StartPosition1
123_GH_VP76	0	1	1	18	1	20	276	-1	0
123_GH_VP76	0	-4	2	22	2	10	377	2	4
123_GH_VP76	1	-2	3	27	2	15	376	0	3
123_GH_VP76	0	0	4	11	1	6	275	-1	0
123_GH_VP76	0	2	5	25	2	25	377	1	-4
123_GH_VP76	-1	4	6	16	1	10	277	-2	-3
123_GH_VP76	0	1	7	24	2	20	376	1	2
123_GH_VP76	0	4	8	13	1	15	277	-2	4
123_GH_VP76	0	2	9	29	2	6	370	2	-1
123_GH_VP76	0	0	10	16	1	10	277	-2	-3
123_GH_VP76	-1	0	11	21	2	6	376	0	2
123_GH_VP76	0	-1	12	17	1	15	275	-1	-2
123_GH_VP76	0	-1	13	26	2	10	370	2	-3
123_GH_VP76	-1	-2	14	14	1	20	275	-1	0
123_GH_VP76	1	3	15	23	2	15	370	2	4
123_GH_VP76	0	4	16	19	1	6	277	-2	-1
123_GH_VP76	0	4	17	28	2	20	377	1	1
123_GH_VP76	-1	0	18	12	1	10	276	-2	-4
123_GH_VP76	1	-2	1	22	2	10	377	1	-3
123_GH_VP76	0	3	2	11	1	6	275	-1	-1
123_GH_VP76	0	3	3	15	1	25	276	-2	3
123_GH_VP76	0	-4	4	18	1	20	276	-2	-3
123_GH_VP76	1	0	5	21	2	6	376	1	-2
123_GH_VP76	1	1	6	29	2	6	370	2	3
123_GH_VP76	1	-1	7	24	2	20	376	1	-3
123_GH_VP76	0	-2	8	13	1	15	277	-2	-1
123_GH_VP76	0	-4	9	27	2	15	376	0	4
123_GH_VP76	0	-4	10	19	1	6	277	-1	-4
123_GH_VP76	-1	0	11	12	1	10	276	-2	-3
123_GH_VP76	0	-2	12	26	2	10	370	2	-3
123_GH_VP76	1	2	13	28	2	20	377	1	3
123_GH_VP76	0	-4	14	17	1	15	275	-2	1
123_GH_VP76	1	1	15	21	2	6	376	1	-2
123_GH_VP76	0	-1	16	11	1	6	275	-2	-4
123_GH_VP76	0	1	17	23	2	15	370	2	4
123_GH_VP76	-1	3	18	14	1	20	275	-1	3
123_GH_VP76	0	1	1	14	1	20	275	-1	4
123_GH_VP76	-1	-2	2	11	1	6	275	-1	-2
123_GH_VP76	0	3	3	29	2	6	370	2	4
123_GH_VP76	0	3	4	18	1	20	276	-2	3
123_GH_VP76	0	-1	5	25	2	25	377	2	-1
123_GH_VP76	0	-3	6	16	1	10	277	-1	-1
123_GH_VP76	0	0	7	24	2	20	376	0	-1
123_GH_VP76	-1	2	8	13	1	15	277	-2	3
123_GH_VP76	0	4	9	27	2	15	376	0	-3
123_GH_VP76	0	2	10	19	1	6	277	-2	-3
123_GH_VP76	-1	0	11	12	1	10	276	-2	-2
123_GH_VP76	0	1	12	26	2	10	370	2	2
123_GH_VP76	1	-2	13	28	2	20	377	3	0
123_GH_VP76	1	4	14	17	1	15	275	-1	2
123_GH_VP76	0	4	15	21	2	6	376	1	-4
123_GH_VP76	0	-1	16	15	1	25	276	-2	3
123_GH_VP76	0	0	17	23	2	15	370	3	1
123_GH_VP76	1	-1	18	22	2	10	377	2	0
