Subject	Rating1	Rating1_StartPosition	Trial	Trial_No	Condition	Anticipation	IADS	Rating2	Rating2_StartPosition1
123_GH_VP24	-1	-4	1	18	1	20	276	-2	-2
123_GH_VP24	2	-4	2	22	2	10	377	3	3
123_GH_VP24	1	4	3	27	2	15	376	-1	-2
123_GH_VP24	-2	0	4	11	1	6	275	-3	4
123_GH_VP24	1	2	5	25	2	25	377	2	4
123_GH_VP24	-1	2	6	16	1	10	277	-2	-3
123_GH_VP24	0	4	7	24	2	20	376	-1	-3
123_GH_VP24	-1	3	8	13	1	15	277	-2	2
123_GH_VP24	0	1	9	29	2	6	370	1	1
123_GH_VP24	-1	-2	10	16	1	10	277	-1	1
123_GH_VP24	0	3	11	21	2	6	376	0	-2
123_GH_VP24	-1	0	12	17	1	15	275	-1	2
123_GH_VP24	0	-2	13	26	2	10	370	1	-2
123_GH_VP24	-1	0	14	14	1	20	275	-1	1
123_GH_VP24	0	-4	15	23	2	15	370	0	3
123_GH_VP24	-1	1	16	19	1	6	277	-1	-4
123_GH_VP24	0	4	17	28	2	20	377	1	2
123_GH_VP24	-1	0	18	12	1	10	276	-1	-2
123_GH_VP24	1	4	1	22	2	10	377	1	3
123_GH_VP24	-2	4	2	11	1	6	275	-2	4
123_GH_VP24	-1	3	3	15	1	25	276	-1	0
123_GH_VP24	-1	3	4	18	1	20	276	-1	1
123_GH_VP24	1	2	5	21	2	6	376	0	-3
123_GH_VP24	1	2	6	29	2	6	370	1	4
123_GH_VP24	0	3	7	24	2	20	376	-1	3
123_GH_VP24	-1	-3	8	13	1	15	277	-1	1
123_GH_VP24	1	0	9	27	2	15	376	0	3
123_GH_VP24	-1	-4	10	19	1	6	277	-1	-4
123_GH_VP24	-1	-2	11	12	1	10	276	-1	-4
123_GH_VP24	0	-4	12	26	2	10	370	0	1
123_GH_VP24	0	2	13	28	2	20	377	1	1
123_GH_VP24	-1	3	14	17	1	15	275	-1	0
123_GH_VP24	0	0	15	21	2	6	376	0	-4
123_GH_VP24	-1	2	16	11	1	6	275	-1	3
123_GH_VP24	0	2	17	23	2	15	370	0	-2
123_GH_VP24	0	0	18	14	1	20	275	-2	4
123_GH_VP24	-1	-4	1	14	1	20	275	-1	1
123_GH_VP24	-1	3	2	11	1	6	275	-2	2
123_GH_VP24	0	2	3	29	2	6	370	0	0
123_GH_VP24	-1	1	4	18	1	20	276	-1	1
123_GH_VP24	0	-2	5	25	2	25	377	1	-2
123_GH_VP24	-1	0	6	16	1	10	277	-1	-1
123_GH_VP24	0	1	7	24	2	20	376	0	-2
123_GH_VP24	-1	2	8	13	1	15	277	-1	-4
123_GH_VP24	0	2	9	27	2	15	376	-1	-3
123_GH_VP24	-1	1	10	19	1	6	277	-2	-4
123_GH_VP24	-1	-4	11	12	1	10	276	-1	-2
123_GH_VP24	0	1	12	26	2	10	370	1	0
123_GH_VP24	0	4	13	28	2	20	377	1	1
123_GH_VP24	-1	4	14	17	1	15	275	-2	-3
123_GH_VP24	0	2	15	21	2	6	376	-1	2
123_GH_VP24	-1	3	16	15	1	25	276	-1	3
123_GH_VP24	0	-2	17	23	2	15	370	0	2
123_GH_VP24	0	3	18	22	2	10	377	1	2
