Subject	Rating1	Rating1_StartPosition	Trial	Trial_No	Condition	Anticipation	IADS	Rating2	Rating2_StartPosition1
123_GH_VP37	0	-1	1	18	1	20	276	-4	2
123_GH_VP37	1	0	2	22	2	10	377	2	2
123_GH_VP37	1	1	3	27	2	15	376	3	-3
123_GH_VP37	-1	1	4	11	1	6	275	-4	-2
123_GH_VP37	2	-2	5	25	2	25	377	2	-3
123_GH_VP37	-2	-3	6	16	1	10	277	-3	-3
123_GH_VP37	3	1	7	24	2	20	376	3	-2
123_GH_VP37	-3	-3	8	13	1	15	277	-3	-4
123_GH_VP37	3	3	9	29	2	6	370	3	1
123_GH_VP37	-2	-1	10	16	1	10	277	-2	0
123_GH_VP37	3	-1	11	21	2	6	376	3	1
123_GH_VP37	-1	-3	12	17	1	15	275	-3	0
123_GH_VP37	3	2	13	26	2	10	370	3	-4
123_GH_VP37	-2	2	14	14	1	20	275	-3	-2
123_GH_VP37	2	4	15	23	2	15	370	2	-2
123_GH_VP37	-1	1	16	19	1	6	277	-2	2
123_GH_VP37	2	4	17	28	2	20	377	2	3
123_GH_VP37	-1	2	18	12	1	10	276	-2	2
123_GH_VP37	1	0	1	22	2	10	377	1	3
123_GH_VP37	-1	-2	2	11	1	6	275	-4	-2
123_GH_VP37	-2	-1	3	15	1	25	276	-3	-2
123_GH_VP37	-2	4	4	18	1	20	276	-1	-4
123_GH_VP37	2	1	5	21	2	6	376	3	-1
123_GH_VP37	3	4	6	29	2	6	370	3	1
123_GH_VP37	2	4	7	24	2	20	376	2	-1
123_GH_VP37	-2	-4	8	13	1	15	277	-3	-4
123_GH_VP37	2	1	9	27	2	15	376	3	-1
123_GH_VP37	-3	-2	10	19	1	6	277	-2	4
123_GH_VP37	-2	2	11	12	1	10	276	-2	-3
123_GH_VP37	3	2	12	26	2	10	370	3	0
123_GH_VP37	3	-3	13	28	2	20	377	2	-1
123_GH_VP37	-3	-1	14	17	1	15	275	-4	1
123_GH_VP37	2	-2	15	21	2	6	376	4	4
123_GH_VP37	-3	-3	16	11	1	6	275	-4	3
123_GH_VP37	3	0	17	23	2	15	370	3	1
123_GH_VP37	-2	-3	18	14	1	20	275	-3	-1
123_GH_VP37	-1	-4	1	14	1	20	275	-4	2
123_GH_VP37	-2	-3	2	11	1	6	275	-4	4
123_GH_VP37	3	-4	3	29	2	6	370	3	-1
123_GH_VP37	-2	1	4	18	1	20	276	-3	0
123_GH_VP37	2	1	5	25	2	25	377	1	0
123_GH_VP37	-2	3	6	16	1	10	277	-2	4
123_GH_VP37	1	-2	7	24	2	20	376	3	-4
123_GH_VP37	-2	3	8	13	1	15	277	-2	-2
123_GH_VP37	1	0	9	27	2	15	376	3	-2
123_GH_VP37	-1	1	10	19	1	6	277	-3	-4
123_GH_VP37	-2	-3	11	12	1	10	276	-3	1
123_GH_VP37	1	-2	12	26	2	10	370	2	-2
123_GH_VP37	1	-2	13	28	2	20	377	1	2
123_GH_VP37	-1	-4	14	17	1	15	275	-3	2
123_GH_VP37	1	3	15	21	2	6	376	2	4
123_GH_VP37	-1	3	16	15	1	25	276	-3	-3
123_GH_VP37	2	-1	17	23	2	15	370	2	4
123_GH_VP37	1	1	18	22	2	10	377	1	3
